,,Salary,Salary,Salary,Salary,Salary,Salary,
Player,Age,2026-27,2027-28,2028-29,2029-30,2030-31,2031-32,Guaranteed
Jalen Johnson,24,"$30,000,000","$30,000,000","$30,000,000","$30,000,000",,,"$120,000,000"
Dyson Daniels,23,"$25,000,000","$25,000,000","$25,000,000","$25,000,000",,,"$100,000,000"
Jonathan Kuminga,23,"$24,300,000",,,,,,$0
CJ McCollum,34,"$21,000,000",,,,,,"$21,000,000"
Luguentz Dort,27,"$18,222,222",,,,,,"$18,222,222"
Onyeka Okongwu,25,"$16,120,000","$16,880,000",,,,,"$33,000,000"
Nickeil Alexander-Walker,27,"$14,403,710","$15,161,800","$15,919,890",,,,"$29,565,510"
Jock Landale,30,"$14,100,000",,,,,,"$14,100,000"
Corey Kispert,27,"$13,975,000","$13,050,000","$13,050,000",,,,"$27,025,000"
Buddy Hield,33,"$9,658,536","$10,097,560",,,,,"$9,658,536"
Aaron Wiggins,27,"$9,224,300","$8,345,797","$8,345,797",,,,"$17,570,097"
Kingston Flemings,19,"$7,348,680","$7,716,120","$8,083,680","$10,282,441",,,"$15,064,800"
Devin Carter,24,"$5,158,080","$7,370,897",,,,,"$5,158,080"
Zuby Ejiofor,22,"$3,453,360","$3,626,160","$3,798,360","$6,445,818",,,"$7,079,520"
Asa Newell,20,"$3,399,480","$3,560,880","$6,042,814",,,,"$3,399,480"
Mouhamed Gueye,23,"$2,406,205",,,,,,"$2,406,205"
Ryan Nembhard,23,"$2,150,917",,,,,,"$2,150,917"
Henri Veesaar,22,"$1,357,763","$2,294,370","$2,694,363","$2,918,152",,,"$3,652,133"
