,,Salary,Salary,Salary,Salary,Salary,Salary,
Player,Age,2026-27,2027-28,2028-29,2029-30,2030-31,2031-32,Guaranteed
Michael Porter Jr.,28,"$40,806,150",,,,,,"$12,000,000"
Julius Randle,31,"$33,333,334","$35,802,468",,,,,"$33,333,334"
Terance Mann,29,"$15,500,000","$16,000,000",,,,,"$31,500,000"
Day'Ron Sharpe,24,"$10,000,000","$10,000,000",,,,,"$10,000,000"
Mikel Brown Jr.,20,"$8,787,000","$9,226,440","$9,666,000","$12,256,488",,,"$18,013,440"
Keon Ellis,26,"$8,780,488","$9,219,512",,,,,"$8,780,488"
Egor Dёmin,20,"$7,233,720","$7,578,240","$9,639,522",,,,"$7,233,720"
Noah Clowney,22,"$5,414,034",,,,,,"$5,414,034"
Josh Minott,23,"$4,500,000","$4,500,000",,,,,"$4,500,000"
Nolan Traoré,20,"$4,002,000","$4,193,040","$6,457,282",,,,"$4,002,000"
Drake Powell,20,"$3,540,600","$3,709,320","$6,101,832",,,,"$3,540,600"
Ben Saraf,20,"$3,028,560","$3,172,920","$5,720,776",,,,"$3,028,560"
Joshua Jefferson,22,"$2,969,520","$3,118,560","$3,266,880","$5,896,718",,,"$6,088,080"
Danny Wolf,22,"$2,941,440","$3,081,840","$5,559,640",,,,"$2,941,440"
