,,Salary,Salary,Salary,Salary,Salary,Salary,
Player,Age,2026-27,2027-28,2028-29,2029-30,2030-31,2031-32,Guaranteed
Jayson Tatum,28,"$58,456,566","$62,786,682","$67,116,798","$71,446,914",,,"$188,360,046"
Paul George,36,"$54,126,380","$56,586,670",,,,,"$54,126,380"
Derrick White,32,"$30,348,000","$32,596,000","$34,844,000",,,,"$62,944,000"
Mitchell Robinson,28,"$15,044,000","$15,796,200","$16,548,400",,,,"$47,388,600"
Sam Hauser,28,"$10,848,215","$11,651,785","$12,455,356",,,,"$34,955,356"
Payton Pritchard,28,"$7,767,857","$8,303,571",,,,,"$16,071,428"
Ron Harper Jr.,26,"$3,150,752","$3,308,290","$3,465,828","$3,779,359",,,"$6,459,042"
Chris Cenac Jr.,19,"$2,988,120","$3,137,640","$3,287,400","$5,930,470",,,"$6,125,760"
Hugo González,20,"$2,923,560","$3,062,640","$5,528,065",,,,"$2,923,560"
Luka Garza,27,"$2,801,346",,,,,,"$2,801,346"
Baylor Scheierman,25,"$2,744,040","$4,952,993",,,,,"$2,744,040"
Neemias Queta,27,"$2,667,944","$12,500,000","$13,500,000","$14,500,000","$15,500,000",,"$58,667,944"
Mike Conley,38,"$2,449,421",,,,,,"$2,449,421"
Jordan Walsh,22,"$2,406,205",,,,,,"$2,406,205"
Milos Uzan,23,"$1,357,763",,,,,,$0
Tucker DeVries,23,"$1,357,763",,,,,,$0
