,,Salary,Salary,Salary,Salary,Salary,Salary,
Player,Age,2026-27,2027-28,2028-29,2029-30,2030-31,2031-32,Guaranteed
Naz Reid,26,"$23,275,862","$25,000,000","$26,724,138","$28,448,276",,,"$75,000,000"
Coby White,26,"$22,839,506","$24,666,667","$26,493,827",,,,"$74,000,000"
Grayson Allen,30,"$18,125,000","$19,375,000",,,,,"$18,125,000"
Brandon Miller,23,"$15,104,626",,,,,,"$15,104,626"
Grant Williams,27,"$14,265,750",,,,,,"$14,265,750"
Dorian Finney-Smith,33,"$13,335,000","$13,335,000","$13,335,000",,,,"$26,670,000"
Royce O'Neale,33,"$10,875,000","$11,625,000",,,,,"$22,500,000"
Kon Knueppel,20,"$10,516,560","$11,017,560","$13,937,214",,,,"$10,516,560"
Tidjane Salaün,20,"$8,237,880","$10,445,633",,,,,"$8,237,880"
Tre Mann,25,"$8,000,000","$8,000,000",,,,,"$8,000,000"
Hannes Steinbach,20,"$5,227,200","$5,488,560","$5,750,160","$8,515,987",,,"$10,715,760"
Christian Anderson Jr.,20,"$4,257,480","$4,470,000","$4,683,120","$7,202,639",,,"$8,727,480"
Pat Connaughton,33,"$3,815,861",,,,,,"$3,815,861"
Liam McNeeley,20,"$2,902,080","$3,040,320","$5,487,778",,,,"$2,902,080"
Moussa Diabaté,24,"$2,461,462",,,,,,$0
Mouhamadou Gueye,28,"$2,411,090",,,,,,"$2,411,090"
Sion James,23,"$2,411,090","$2,525,901","$2,735,698",,,,"$2,411,090"
Ryan Kalkbrenner,24,"$2,411,090","$2,525,901","$2,735,698",,,,"$2,411,090"
