,,Salary,Salary,Salary,Salary,Salary,Salary,
Player,Age,2026-27,2027-28,2028-29,2029-30,2030-31,2031-32,Guaranteed
Josh Giddey,23,"$25,000,000","$25,000,000","$25,000,000",,,,"$75,000,000"
Nic Claxton,27,"$23,147,727","$20,943,184",,,,,"$44,090,911"
Norman Powell,33,"$21,500,000","$22,575,000",,,,,"$21,500,000"
Patrick Williams,24,"$18,000,000","$18,000,000","$18,000,000",,,,"$36,000,000"
Isaac Okoro,25,"$11,814,814",,,,,,"$11,814,814"
Caleb Wilson,20,"$10,683,720","$11,217,960","$11,752,320","$14,866,685",,,"$21,901,680"
Jalen Smith,26,"$9,428,571",,,,,,"$9,428,571"
Zach Collins,28,"$8,292,683","$8,707,317",,,,,"$17,000,000"
Tre Jones,26,"$8,000,000","$8,000,000",,,,,"$8,000,000"
Rob Dillingham,21,"$6,889,320","$8,763,216",,,,,"$6,889,320"
Matas Buzelis,21,"$5,715,360","$7,584,283",,,,,"$5,715,360"
Noa Essengue,19,"$5,701,200","$5,972,760","$8,230,464",,,,"$5,701,200"
Dailyn Swain,21,"$4,965,480","$5,213,760","$5,461,920","$8,373,124",,,"$10,179,240"
Leonard Miller,22,"$2,406,205",,,,,,"$2,406,205"
