,,Salary,Salary,Salary,Salary,Salary,Salary,
Player,Age,2026-27,2027-28,2028-29,2029-30,2030-31,2031-32,Guaranteed
Donovan Mitchell,29,"$50,105,628","$60,911,900","$65,784,852","$70,657,804","$75,530,756",,"$247,460,184"
Evan Mobley,25,"$50,105,628","$53,817,156","$57,528,684","$61,240,212",,,"$222,691,680"
James Harden,36,"$42,317,307",,,,,,$0
Jarrett Allen,28,"$28,000,000","$30,240,000","$32,480,000",,,,"$90,720,000"
Max Strus,30,"$16,660,836",,,,,,"$16,660,836"
Dennis Schröder,32,"$14,809,200","$15,514,400",,,,,"$14,809,200"
Sam Merrill,30,"$9,160,715","$9,839,285","$10,517,856",,,,"$29,517,856"
Jaylon Tyson,23,"$3,658,560","$5,641,500",,,,,"$3,658,560"
Thomas Bryant,28,"$2,449,421",,,,,,"$2,449,421"
Nae'Qwan Tomlin,25,"$2,411,090",,,,,,"$2,411,090"
Craig Porter Jr.,26,"$2,406,205",,,,,,"$2,406,205"
Tyrese Proctor,22,"$2,150,917","$2,525,901","$2,735,698",,,,"$2,150,917"
Meleek Thomas,19,"$1,357,763","$2,294,370","$2,694,363","$2,918,152",,,"$6,346,496"
Ricky Rubio,35,"$424,672",,,,,,"$424,672"
