,,Salary,Salary,Salary,Salary,Salary,Salary,
Player,Age,2026-27,2027-28,2028-29,2029-30,2030-31,2031-32,Guaranteed
Kyrie Irving,34,"$39,491,282","$42,416,562",,,,,"$39,491,282"
P.J. Washington,27,"$19,813,044","$21,398,088","$22,983,132","$24,568,176",,,"$88,762,440"
Klay Thompson,36,"$17,460,317",,,,,,"$17,460,317"
Daniel Gafford,27,"$17,263,584","$18,126,763","$18,989,942",,,,"$54,380,289"
Santi Aldama,25,"$17,007,043","$17,007,043",,,,,"$17,007,043"
Cooper Flagg,19,"$14,517,480","$15,208,680","$19,178,146",,,,"$14,517,480"
Zaccharie Risacher,21,"$13,826,040","$17,434,637",,,,,"$13,826,040"
Caleb Martin,30,"$10,001,493","$9,371,351",,,,,"$10,001,493"
Naji Marshall,28,"$9,428,571",,,,,,"$9,428,571"
Max Christie,23,"$8,285,714","$8,857,143",,,,,"$8,285,714"
Dereck Lively II,22,"$7,239,131",,,,,,"$7,239,131"
Morez Johnson Jr.,20,"$6,754,800","$7,093,080","$7,430,640","$9,466,636",,,"$13,847,880"
Marcus Sasser,25,"$5,198,983",,,,,,"$5,198,983"
Sergio de Larrea,20,"$3,182,280","$3,341,280","$3,500,880","$6,305,086",,,"$6,523,560"
Tarik Biberovic,25,"$3,000,000","$3,000,000",,,,,"$3,000,000"
Moussa Cisse,23,"$2,185,116","$2,571,895",,,,,"$2,185,116"
JaVale McGee,38,"$2,208,856","$2,208,856",,,,,"$4,417,712"
Olivier-Maxence Prosper,24,"$1,002,360","$1,002,360",,,,,"$2,004,720"
