,,Salary,Salary,Salary,Salary,Salary,Salary,
Player,Age,2026-27,2027-28,2028-29,2029-30,2030-31,2031-32,Guaranteed
Nikola Jokić,31,"$59,033,114","$62,841,702",,,,,"$59,033,114"
Jamal Murray,29,"$50,105,628","$53,817,156","$57,528,684",,,,"$161,451,468"
Aaron Gordon,30,"$33,658,037","$36,350,680","$39,043,323",,,,"$70,008,717"
Cameron Johnson,30,"$23,062,500",,,,,,"$23,062,500"
Christian Braun,25,"$21,551,726","$23,275,863","$25,000,000","$26,724,137","$28,448,274",,"$125,000,000"
Zeke Nnaji,25,"$7,466,667","$7,466,667",,,,,"$7,466,667"
Julian Strawther,24,"$4,826,931",,,,,,"$4,826,931"
DaRon Holmes,23,"$3,372,120","$5,547,138",,,,,"$3,372,120"
Marvin Bagley III,27,"$2,449,421",,,,,,"$2,449,421"
Tyus Jones,30,"$2,449,421",,,,,,"$2,449,421"
Jalen Pickett,26,"$2,406,205",,,,,,$0
Trevon Brazile,23,"$1,357,763",,,,,,"$1,357,763"
