,,Salary,Salary,Salary,Salary,Salary,Salary,
Player,Age,2026-27,2027-28,2028-29,2029-30,2030-31,2031-32,Guaranteed
Cade Cunningham,24,"$50,105,628","$53,817,156","$57,528,684","$61,240,212",,,"$222,691,680"
John Collins,28,"$17,000,000","$17,000,000","$17,000,000",,,,"$17,000,000"
Duncan Robinson,32,"$15,992,957","$15,151,222",,,,,$0
Isaiah Joe,27,"$11,323,006","$11,323,006",,,,,"$11,323,006"
Ausar Thompson,23,"$11,117,925",,,,,,"$11,117,925"
Ron Holland,21,"$9,069,600","$11,491,183",,,,,"$9,069,600"
Kevin Huerter,27,"$8,333,333","$9,000,000","$9,666,667",,,,"$27,000,000"
Paul Reed,27,"$5,602,689",,,,,,$0
Ebuka Okorie,19,"$4,481,280","$4,705,440","$4,929,360","$7,571,497",,,"$9,186,720"
Daniss Jenkins,24,"$4,000,000",,,,,,"$4,000,000"
Javonte Green,32,"$3,943,679",,,,,,"$3,943,679"
Gary Harris,31,"$3,815,861",,,,,,"$3,815,861"
Taurean Prince,32,"$3,815,861",,,,,,"$3,815,861"
Tolu Smith,25,"$2,411,090",,,,,,"$2,411,090"
Chaz Lanier,24,"$2,150,917","$2,525,901","$2,735,698",,,,"$2,150,917"
