,,Salary,Salary,Salary,Salary,Salary,Salary,
Player,Age,2026-27,2027-28,2028-29,2029-30,2030-31,2031-32,Guaranteed
Stephen Curry,38,"$62,587,158",,,,,,"$62,587,158"
Jimmy Butler,36,"$56,832,773",,,,,,"$56,832,773"
Draymond Green,36,"$27,678,571",,,,,,$0
Kristaps Porziņģis,30,"$19,512,195","$20,487,805",,,,,"$19,512,195"
Moses Moody,24,"$12,500,000","$13,425,925",,,,,"$25,925,925"
Al Horford,40,"$6,822,000","$7,163,100",,,,,"$13,985,100"
Yaxel Lendeborg,23,"$6,096,240","$6,401,280","$6,706,200","$8,899,128",,,"$12,497,520"
Brandin Podziemski,23,"$5,679,459",,,,,,"$5,679,459"
Gui Santos,24,"$4,629,630","$5,000,000","$5,370,370",,,,"$9,629,630"
De'Anthony Melton,28,"$3,451,779",,,,,,$0
Charles Bassey,25,"$2,449,421",,,,,,"$2,449,421"
Will Richard,23,"$2,150,917","$2,525,901","$2,735,698",,,,"$2,150,917"
