,,Salary,Salary,Salary,Salary,Salary,Salary,
Player,Age,2026-27,2027-28,2028-29,2029-30,2030-31,2031-32,Guaranteed
Tyrese Haliburton,26,"$48,924,624","$52,298,736","$55,672,848",,,,"$156,896,208"
Pascal Siakam,32,"$48,924,624","$52,298,736",,,,,"$101,223,360"
Ivica Zubac,29,"$20,342,140","$21,790,300",,,,,"$42,132,440"
Andrew Nembhard,26,"$19,550,160","$20,998,320",,,,,"$40,548,480"
Obi Toppin,28,"$15,000,000","$16,025,000",,,,,"$31,025,000"
T.J. McConnell,34,"$11,000,000","$11,800,000","$11,800,000",,,,"$22,800,000"
Aaron Nesmith,26,"$11,000,000","$19,418,000","$20,971,440",,,,"$51,389,440"
Jarace Walker,22,"$8,478,542",,,,,,"$8,478,542"
Kelly Oubre Jr.,30,"$8,050,000","$8,450,000",,,,,"$16,500,000"
Ben Sheppard,25,"$5,031,669",,,,,,"$5,031,669"
Jay Huff,27,"$2,667,944","$3,005,085",,,,,$0
Larry Nance Jr.,33,"$2,449,421",,,,,,"$2,449,421"
Johnny Furphy,21,"$2,296,271","$2,486,995",,,,,"$2,296,271"
