,,Salary,Salary,Salary,Salary,Salary,Salary,
Player,Age,2026-27,2027-28,2028-29,2029-30,2030-31,2031-32,Guaranteed
Kawhi Leonard,35,"$50,300,000",,,,,,"$50,300,000"
Darius Garland,26,"$42,166,510","$44,886,930",,,,,"$87,053,440"
Rui Hachimura,28,"$14,000,000","$14,000,000",,,,,"$14,000,000"
Derrick Jones Jr.,29,"$10,476,190",,,,,,"$10,476,190"
Keaton Wagler,19,"$9,674,760","$10,158,240","$10,641,960","$13,483,364",,,"$19,833,000"
Brook Lopez,38,"$9,187,500",,,,,,"$9,187,500"
Isaiah Jackson,24,"$7,000,000","$6,400,000",,,,,"$13,400,000"
Nicolas Batum,37,"$5,881,680",,,,,,$0
Kris Dunn,32,"$5,684,800",,,,,,$0
Bradley Beal,33,"$5,621,700",,,,,,$0
Jordan Miller,26,"$5,300,000","$5,000,000","$5,000,000",,,,"$5,300,000"
Yanic Konan Niederhäuser,23,"$2,880,960","$3,018,480","$5,448,356",,,,"$2,880,960"
Kobe Sanders,24,"$2,622,139","$2,753,246","$2,884,353","$3,019,474",,,"$5,375,385"
Cam Christie,20,"$2,296,271","$2,486,995",,,,,$0
Baba Miller,22,"$1,705,630","$2,294,370","$2,694,363","$2,918,152",,,"$4,000,000"
