,,Salary,Salary,Salary,Salary,Salary,Salary,
Player,Age,2026-27,2027-28,2028-29,2029-30,2030-31,2031-32,Guaranteed
Luka Dončić,27,"$49,800,000","$53,784,000","$57,768,000",,,,"$103,584,000"
Austin Reaves,28,"$41,240,250","$44,539,470","$47,838,690","$51,137,910",,,"$133,618,410"
Walker Kessler,24,"$30,232,558","$31,744,186","$33,255,814","$34,767,442",,,"$95,232,558"
Quentin Grimes,26,"$13,953,489","$14,651,163","$15,348,837","$16,046,511",,,"$43,953,489"
Sandro Mamukelashvili,27,"$13,000,000","$12,350,000","$13,000,000","$13,650,000",,,"$38,350,000"
Jarred Vanderbilt,27,"$12,428,571","$13,285,714",,,,,"$12,428,571"
Collin Sexton,27,"$9,366,000","$9,834,300",,,,,"$19,200,300"
Jake LaRavia,24,"$6,000,000",,,,,,"$6,000,000"
Jaden Hardy,24,"$6,000,000","$6,000,000",,,,,"$6,000,000"
Dalton Knecht,25,"$4,201,080","$6,452,860",,,,,"$4,201,080"
Cameron Carr,21,"$3,315,360","$3,481,080","$3,646,800","$6,378,253",,,"$6,796,440"
Kevon Looney,30,"$2,449,421",,,,,,"$2,449,421"
Ziaire Williams,24,"$2,449,421",,,,,,"$2,449,421"
Bronny James,21,"$2,296,271","$2,486,995",,,,,$0
Adou Thiero,22,"$2,150,917","$2,525,901",,,,,"$2,150,917"
