,,Salary,Salary,Salary,Salary,Salary,Salary,
Player,Age,2026-27,2027-28,2028-29,2029-30,2030-31,2031-32,Guaranteed
Jerami Grant,32,"$34,206,898","$36,413,790",,,,,"$34,206,898"
Kentavious Caldwell-Pope,33,"$21,621,500",,,,,,"$21,621,500"
Isaiah Stewart,25,"$15,000,000","$15,000,000",,,,,"$15,000,000"
Brandon Clarke,29,"$12,500,000",,,,,,"$12,500,000"
Cameron Boozer,19,"$11,849,760","$12,441,840","$13,034,880","$16,476,089",,,"$24,291,600"
Ty Jerome,29,"$9,220,050","$9,659,100",,,,,"$9,220,050"
Quinten Post,26,"$8,285,714","$8,700,000","$9,114,286",,,,"$8,285,714"
Taylor Hendricks,22,"$7,805,900",,,,,,"$7,805,900"
Zach Edey,24,"$6,332,760","$8,067,937",,,,,"$6,332,760"
Cedric Coward,22,"$6,001,080","$6,286,920","$8,342,743",,,,"$6,001,080"
D'Angelo Russell,30,"$5,969,250",,,,,,"$5,969,250"
Kris Murray,25,"$5,315,004",,,,,,"$5,315,004"
Walter Clayton,23,"$4,190,520","$4,390,320","$6,752,312",,,,"$4,190,520"
AJ Johnson,21,"$3,237,120","$5,493,394",,,,,"$3,237,120"
Olivier-Maxence Prosper,24,"$2,497,812",,,,,,"$2,497,812"
Scotty Pippen Jr.,25,"$2,461,462","$2,789,215",,,,,$0
Cam Spencer,26,"$2,411,090","$2,616,754","$2,830,685",,,,"$5,027,844"
GG Jackson II,21,"$2,406,205",,,,,,"$2,406,205"
Jaylen Wells,22,"$2,296,271","$2,486,995",,,,,$0
Cole Anthony,26,"$3,700,000","$3,700,000",,,,,"$7,400,000"
Mamadi Diakite,29,"$464,050",,,,,,"$464,050"
