,,Salary,Salary,Salary,Salary,Salary,Salary,
Player,Age,2026-27,2027-28,2028-29,2029-30,2030-31,2031-32,Guaranteed
Giannis Antetokounmpo,31,"$58,456,566","$62,786,682",,,,,"$58,456,566"
Bam Adebayo,29,"$49,800,000","$53,784,000","$57,768,000",,,,"$103,584,000"
Andrew Wiggins,31,"$30,169,644","$16,346,154","$17,653,846",,,,"$46,515,798"
Nikola Jović,23,"$16,200,000","$14,904,000","$15,096,000","$16,200,000",,,"$62,400,000"
Bobby Portis,31,"$14,521,414","$15,597,074",,,,,"$14,521,414"
Davion Mitchell,27,"$12,400,000",,,,,,"$12,400,000"
Tim Hardaway Jr.,34,"$6,500,000",,,,,,"$6,500,000"
Dru Smith,28,"$2,584,539","$2,934,742",,,,,$0
Simone Fontecchio,30,"$2,449,421",,,,,,"$2,449,421"
Pelle Larsson,25,"$2,296,271",,,,,,"$2,296,271"
Myron Gardner,25,"$2,150,917","$2,525,901",,,,,$0
Ryan Conwell,22,"$1,357,763","$2,294,370","$2,694,363",,,,"$3,652,133"
