,,Salary,Salary,Salary,Salary,Salary,Salary,
Player,Age,2026-27,2027-28,2028-29,2029-30,2030-31,2031-32,Guaranteed
Tyler Herro,26,"$33,000,000",,,,,,"$33,000,000"
Myles Turner,30,"$26,584,164","$27,850,077","$29,115,990",,,,"$54,434,241"
Kyle Kuzma,30,"$20,345,152",,,,,,"$20,345,152"
Gary Trent Jr.,27,"$15,200,000","$16,400,000","$16,400,000","$16,000,000",,,"$64,000,000"
Caris LeVert,31,"$14,809,200",,,,,,"$14,809,200"
A.J. Green,26,"$10,044,644","$10,848,215","$11,651,786","$12,455,355",,,"$45,000,000"
Brayden Burries,20,"$6,417,360","$6,738,000","$7,058,520","$8,999,614",,,"$13,155,360"
Jaime Jaquez Jr.,25,"$5,939,141",,,,,,"$5,939,141"
Ousmane Dieng,23,"$5,750,000","$5,750,000","$5,750,000",,,,"$11,500,000"
Nate Ament,19,"$5,502,000","$5,777,280","$6,052,200","$8,648,594",,,"$11,279,280"
Kevin Porter Jr.,26,"$5,390,700",,,,,,"$5,390,700"
Kel'el Ware,22,"$4,654,920","$7,135,992",,,,,"$4,654,920"
Ryan Rollins,24,"$4,000,000","$4,000,000",,,,,"$4,000,000"
Kasparas Jakučionis,20,"$3,841,680","$4,024,440","$6,205,687",,,,"$3,841,680"
Jericho Sims,27,"$2,801,346",,,,,,"$2,801,346"
Pete Nance,26,"$2,537,526","$2,756,912",,,,,"$2,537,526"
Andre Jackson Jr.,24,"$2,406,205",,,,,,$0
Bogoljub Markovic,21,"$1,357,763","$2,294,370","$2,694,363","$2,918,152",,,"$6,346,496"
Damian Lillard,36,"$22,516,603","$22,516,603","$22,516,603","$22,516,603",,,"$90,066,412"
Vasilije Micić,32,"$666,667","$666,667",,,,,"$1,333,334"
