,,Salary,Salary,Salary,Salary,Salary,Salary,
Player,Age,2026-27,2027-28,2028-29,2029-30,2030-31,2031-32,Guaranteed
Anthony Edwards,24,"$48,924,624","$52,298,736","$55,672,848",,,,"$156,896,208"
LaMelo Ball,24,"$40,770,520","$43,582,280","$46,394,040",,,,"$130,746,840"
Rudy Gobert,34,"$36,500,000","$38,000,000",,,,,"$36,500,000"
Jaden McDaniels,25,"$26,200,001","$28,006,898","$29,813,790",,,,"$84,020,689"
Ayo Dosunmu,26,"$19,310,345","$20,855,173","$22,400,001","$23,944,829","$25,489,652",,"$86,510,348"
Josh Green,25,"$14,679,012",,,,,,"$14,679,012"
Donte DiVincenzo,29,"$12,535,000",,,,,,"$12,535,000"
Joan Beringer,19,"$4,411,200","$4,621,200","$7,098,163",,,,"$4,411,200"
Jaylen Clark,24,"$3,086,420","$3,333,334","$3,580,246",,,,"$10,000,000"
Bones Hyland,25,"$2,845,883",,,,,,"$2,845,883"
Terrence Shannon Jr.,25,"$2,801,640","$5,054,159",,,,,"$2,801,640"
Trey Lyles,30,"$2,449,421",,,,,,"$2,449,421"
Julian Phillips,22,"$2,406,205",,,,,,$0
Isaiah Evans,20,"$1,357,763","$2,294,370","$2,694,363","$2,918,152",,,"$6,346,496"
