,,Salary,Salary,Salary,Salary,Salary,Salary,
Player,Age,2026-27,2027-28,2028-29,2029-30,2030-31,2031-32,Guaranteed
Zion Williamson,26,"$42,166,510","$44,886,930",,,,,"$87,053,440"
Jordan Poole,27,"$34,044,642",,,,,,"$34,044,642"
Dejounte Murray,29,"$32,785,071","$30,751,504",,,,,"$32,785,071"
Trey Murphy III,26,"$27,000,000","$29,000,000","$31,000,000",,,,"$87,000,000"
Herbert Jones,27,"$14,898,786","$20,858,300","$22,526,964","$24,195,628",,,"$58,284,050"
Jeremiah Fears,19,"$7,896,240","$8,271,960","$10,505,389",,,,"$7,896,240"
Jordan Hawkins,24,"$7,021,895",,,,,,"$7,021,895"
Saddiq Bey,27,"$6,440,678",,,,,,"$6,440,678"
Derik Queen,21,"$5,416,080","$5,673,840","$8,107,918",,,,"$5,416,080"
DeAndre Jordan,38,"$3,876,529","$4,070,355",,,,,"$7,946,884"
Yves Missi,22,"$3,512,760","$5,595,827",,,,,"$3,512,760"
Bryce McGowens,23,"$2,584,539","$2,934,742",,,,,"$2,584,539"
Karlo Matković,25,"$2,296,271",,,,,,"$2,296,271"
Micah Peavy,25,"$2,150,917","$2,525,901","$2,735,698",,,,"$2,150,917"
