,,Salary,Salary,Salary,Salary,Salary,Salary,
Player,Age,2026-27,2027-28,2028-29,2029-30,2030-31,2031-32,Guaranteed
Karl-Anthony Towns,30,"$57,078,728","$61,015,192",,,,,"$57,078,728"
OG Anunoby,29,"$42,500,000","$45,431,034","$48,362,068",,,,"$87,931,034"
Jalen Brunson,29,"$37,739,521","$40,535,041","$43,330,561",,,,"$78,274,562"
Mikal Bridges,29,"$33,482,145","$36,160,714","$38,839,285","$41,517,856",,,"$108,482,144"
Josh Hart,31,"$20,923,760","$22,375,280",,,,,"$20,923,760"
Landry Shamet,29,"$5,357,143","$5,785,714","$6,214,286","$6,642,857",,,"$24,000,000"
Jose Alvarado,28,"$4,500,000","$4,860,000","$5,220,000",,,,"$14,580,000"
Miles McBride,25,"$3,956,523",,,,,,"$3,956,523"
Pacôme Dadiet,20,"$2,983,680","$5,373,608",,,,,"$2,983,680"
Jordan Clarkson,34,"$2,449,421",,,,,,"$2,449,421"
Andre Drummond,32,"$2,449,421",,,,,,"$2,449,421"
Tyler Kolek,25,"$2,296,271","$2,486,995",,,,,"$2,296,271"
Mohamed Diawara,21,"$2,232,143","$2,410,714","$2,589,286","$2,767,857",,,"$10,000,000"
