,,Salary,Salary,Salary,Salary,Salary,Salary,
Player,Age,2026-27,2027-28,2028-29,2029-30,2030-31,2031-32,Guaranteed
Chet Holmgren,24,"$41,500,000","$44,820,000","$48,140,000","$51,460,000","$54,780,000",,"$240,700,000"
Jalen Williams,25,"$41,500,000","$44,820,000","$48,140,000","$51,460,000","$54,780,000",,"$240,700,000"
Shai Gilgeous-Alexander,28,"$40,806,150","$61,005,000","$65,885,400","$70,765,800","$75,646,200",,"$238,462,350"
Isaiah Hartenstein,28,"$23,148,148","$25,000,000","$26,851,852",,,,"$48,148,148"
Alex Caruso,32,"$19,550,160","$20,998,320","$22,446,480",,,,"$62,994,960"
Jaylin Williams,24,"$7,774,648","$7,774,648",,,,,"$7,774,648"
Cason Wallace,22,"$7,420,806",,,,,,"$7,420,806"
Aday Mara,21,"$5,791,680","$6,081,480","$6,371,160","$8,779,459",,,"$11,873,160"
Nikola Topić,20,"$5,429,760","$7,482,210",,,,,"$5,429,760"
Kenrich Williams,31,"$5,000,000",,,,,,"$5,000,000"
Thomas Sorber,20,"$4,887,720","$5,120,400","$7,849,573",,,,"$4,887,720"
Bennett Stirtz,22,"$4,717,320","$4,953,240","$5,189,400","$7,960,540",,,"$9,670,560"
Jared McCain,22,"$4,422,600","$6,784,268",,,,,"$4,422,600"
Ajay Mitchell,24,"$2,850,000","$2,850,000",,,,,$0
