,,Salary,Salary,Salary,Salary,Salary,Salary,
Player,Age,2026-27,2027-28,2028-29,2029-30,2030-31,2031-32,Guaranteed
Franz Wagner,24,"$41,754,690","$44,847,630","$47,940,570","$51,033,510",,,"$185,576,400"
Paolo Banchero,23,"$41,500,000","$44,820,000","$48,140,000","$51,460,000","$54,780,000",,"$185,920,000"
Desmond Bane,28,"$39,446,090","$42,166,510","$44,886,930",,,,"$126,499,530"
Jalen Suggs,25,"$32,400,000","$29,600,000","$26,800,000","$26,700,000",,,"$88,800,000"
Wendell Carter Jr.,27,"$18,102,000","$19,550,160","$20,998,320",,,,"$37,652,160"
Jonathan Isaac,28,"$10,449,421",,,,,,"$10,449,421"
Anthony Black,22,"$10,106,316",,,,,,"$10,106,316"
Goga Bitadze,27,"$7,608,696",,,,,,"$7,608,696"
Jett Howard,22,"$7,337,939",,,,,,$0
Tristan Da Silva,25,"$3,991,200","$6,138,466",,,,,"$3,991,200"
Jase Richardson,20,"$3,132,360","$3,282,000","$5,910,882",,,,"$3,132,360"
Jamal Cain,27,"$2,584,539",,,,,,"$2,584,539"
Jevon Carter,30,"$2,449,421",,,,,,"$2,449,421"
Nikola Vučević,35,"$2,449,421",,,,,,"$2,449,421"
Noah Penda,21,"$2,150,917","$2,525,901","$2,735,698",,,,"$2,150,917"
