,,Salary,Salary,Salary,Salary,Salary,Salary,
Player,Age,2026-27,2027-28,2028-29,2029-30,2030-31,2031-32,Guaranteed
Joel Embiid,32,"$58,100,000","$62,748,000","$67,396,000",,,,"$120,848,000"
Jaylen Brown,29,"$57,078,728","$61,015,192","$64,951,656",,,,"$183,045,576"
Tyrese Maxey,25,"$40,770,520","$43,582,280","$46,394,040",,,,"$130,746,840"
VJ Edgecombe,20,"$11,663,880","$12,219,720","$15,445,727",,,,"$11,663,880"
Dean Wade,29,"$9,000,000","$9,450,000","$9,900,000","$10,350,000",,,"$30,000,000"
Anfernee Simons,27,"$6,000,000","$6,300,000",,,,,"$6,000,000"
Labaron Philon Jr.,20,"$3,597,120","$3,776,760","$3,956,760","$6,508,871",,,"$7,373,880"
Dominick Barlow,23,"$3,415,000",,,,,,"$3,415,000"
Ariel Hukporti,24,"$3,400,000",,,,,,"$3,400,000"
Trendon Watford,25,"$2,801,346",,,,,,$0
Dalen Terry,24,"$2,584,539",,,,,,"$2,584,539"
Jabari Walker,23,"$2,584,539",,,,,,$0
Justin Edwards,22,"$2,411,090","$2,616,754",,,,,"$2,411,090"
Adem Bona,23,"$2,296,271","$2,486,995",,,,,$0
Johni Broome,24,"$2,150,917","$2,525,901","$2,735,698",,,,"$2,150,917"
