,,Salary,Salary,Salary,Salary,Salary,Salary,
Player,Age,2026-27,2027-28,2028-29,2029-30,2030-31,2031-32,Guaranteed
Devin Booker,29,"$57,078,728","$61,015,192","$64,065,952","$69,191,228",,,"$182,159,872"
Jalen Green,24,"$36,251,166","$36,000,000",,,,,"$36,251,166"
Miles Bridges,28,"$22,826,087",,,,,,"$22,826,087"
Dillon Brooks,30,"$19,992,727",,,,,,"$19,992,727"
Mark Williams,24,"$11,728,395","$12,666,667","$13,604,938",,,,"$38,000,000"
Collin Gillespie,27,"$10,714,286","$11,571,429","$12,428,571","$13,285,714",,,"$48,000,000"
Khaman Maluach,19,"$6,316,680","$6,617,160","$8,436,880",,,,"$6,316,680"
Luke Kennard,30,"$6,064,000","$6,367,200",,,,,"$6,064,000"
Jordan Goodwin,27,"$5,864,198","$6,333,333","$6,802,469",,,,"$12,197,531"
Haywood Highsmith,29,"$3,018,158",,,,,,"$1,000,000"
Koa Peat,19,"$2,926,800","$3,073,080","$3,219,840","$5,811,811",,,"$5,999,880"
Ryan Dunn,23,"$2,784,240","$5,025,553",,,,,"$2,784,240"
Jamaree Bouyea,27,"$2,584,539",,,,,,"$2,584,539"
Oso Ighodaro,24,"$2,296,271","$2,486,995",,,,,$0
Rasheer Fleming,22,"$2,150,917","$2,525,901","$2,735,698",,,,"$4,676,818"
Bradley Beal,33,"$19,383,010","$19,383,010","$19,383,010","$19,383,010",,,"$77,532,040"
Nassir Little,26,"$3,107,143","$3,107,143","$3,107,143",,,,"$9,321,429"
E.J. Liddell,25,"$706,898",,,,,,"$706,898"
