,,Salary,Salary,Salary,Salary,Salary,Salary,
Player,Age,2026-27,2027-28,2028-29,2029-30,2030-31,2031-32,Guaranteed
Ja Morant,26,"$42,166,510","$44,886,930",,,,,"$87,053,440"
Jrue Holiday,36,"$34,800,000","$37,200,000",,,,,"$34,800,000"
Shaedon Sharpe,23,"$20,089,287","$21,696,429","$23,303,571","$24,910,713",,,"$90,000,000"
Toumani Camara,26,"$18,080,358","$19,526,786","$20,973,214","$22,419,642",,,"$81,000,000"
Robert Williams,28,"$13,968,254","$14,666,667","$15,365,079",,,,"$18,968,254"
Scoot Henderson,22,"$13,585,523",,,,,,"$13,585,523"
Damian Lillard,36,"$13,398,800","$14,104,000",,,,,"$13,398,800"
Deni Avdija,25,"$13,125,000","$11,875,000",,,,,"$25,000,000"
Donovan Clingan,22,"$7,519,920","$9,550,298",,,,,"$7,519,920"
Yang Hansen,21,"$4,643,520","$4,864,920","$7,462,788",,,,"$4,643,520"
Micah Potter,28,"$2,801,346",,,,,,"$2,801,346"
Vít Krejčí,26,"$2,667,944","$3,005,085",,,,,$0
Sidy Cissoko,22,"$2,497,812",,,,,,$0
Branden Carlson,27,"$2,449,421",,,,,,"$2,449,421"
Didi Louzada,27,"$268,032","$268,032","$268,032",,,,"$804,096"
