,,Salary,Salary,Salary,Salary,Salary,Salary,
Player,Age,2026-27,2027-28,2028-29,2029-30,2030-31,2031-32,Guaranteed
Zach LaVine,31,"$48,967,380",,,,,,"$48,967,380"
Domantas Sabonis,30,"$45,472,000","$48,608,000",,,,,"$94,080,000"
De'Andre Hunter,28,"$24,910,714",,,,,,"$24,910,714"
Keegan Murray,25,"$24,137,936","$26,068,965","$27,999,999","$29,931,033","$31,862,067",,"$140,000,000"
Malik Monk,28,"$20,190,035","$21,582,451",,,,,"$20,190,035"
Darius Acuff Jr.,19,"$8,021,640","$8,422,920","$8,823,600","$11,205,972",,,"$16,444,560"
Precious Achiuwa,26,"$5,477,000","$5,750,850",,,,,"$11,227,850"
Nique Clifford,24,"$3,263,400","$3,418,800","$5,979,481",,,,"$3,263,400"
Alex Karaban,23,"$2,948,280","$3,095,640","$3,243,120","$5,853,832",,,"$6,043,920"
Daeqwon Plowden,27,"$2,449,421","$2,664,401",,,,,"$5,113,822"
Maxime Raynaud,23,"$2,150,917","$2,525,901",,,,,"$2,150,917"
Emanuel Sharp,22,"$1,357,763","$2,294,370","$2,694,363",,,,"$3,652,133"
