,,Salary,Salary,Salary,Salary,Salary,Salary,
Player,Age,2026-27,2027-28,2028-29,2029-30,2030-31,2031-32,Guaranteed
De'Aaron Fox,28,"$49,800,000","$53,784,000","$57,768,000","$61,752,000",,,"$223,104,000"
Devin Vassell,25,"$27,000,000","$24,652,174","$27,000,000",,,,"$78,652,174"
Keldon Johnson,26,"$17,500,000",,,,,,"$17,500,000"
Victor Wembanyama,22,"$16,868,246","$43,500,000","$46,980,000","$50,460,000","$53,940,000","$57,420,000","$211,748,246"
Tobias Harris,34,"$15,044,000","$15,796,200",,,,,"$30,840,200"
Julian Champagnie,25,"$13,888,889","$15,000,000","$16,111,111",,,,"$45,000,000"
Dylan Harper,20,"$12,989,040","$13,607,760","$17,172,994",,,,"$12,989,040"
Luke Kornet,31,"$10,450,000","$9,900,000","$9,350,000",,,,"$13,000,000"
Stephon Castle,21,"$10,015,920","$12,670,139",,,,,"$10,015,920"
Harrison Barnes,34,"$8,000,000",,,,,,"$8,000,000"
Carter Bryant,20,"$5,145,360","$5,390,640","$7,983,539",,,,"$5,145,360"
Jayden Quaintance,19,"$3,902,760","$4,097,880","$4,292,880","$6,619,621",,,"$8,000,640"
Tarris Reed Jr.,22,"$3,076,920","$3,230,520","$3,384,480","$6,102,218",,,"$6,307,440"
Jordan McLaughlin,30,"$2,449,421",,,,,,"$2,449,421"
