,,Salary,Salary,Salary,Salary,Salary,Salary,
Player,Age,2026-27,2027-28,2028-29,2029-30,2030-31,2031-32,Guaranteed
Scottie Barnes,24,"$41,754,690","$44,847,630","$47,940,570","$51,033,510",,,"$185,576,400"
Brandon Ingram,28,"$40,000,000","$41,904,762",,,,,"$40,000,000"
Immanuel Quickley,27,"$32,500,000","$32,500,000","$32,500,000",,,,"$97,500,000"
RJ Barrett,26,"$29,616,071",,,,,,"$29,616,071"
Jakob Poeltl,30,"$19,500,000","$27,300,000","$29,484,000","$27,300,000",,,"$76,284,000"
Gradey Dick,22,"$7,131,511",,,,,,"$7,131,511"
Collin Murray-Boyles,21,"$6,649,560","$6,966,000","$8,874,684",,,,"$6,649,560"
Allen Graves,19,"$4,065,720","$4,268,880","$4,472,640","$6,887,866",,,"$8,334,600"
Ja'Kobe Walter,21,"$3,811,800","$5,870,172",,,,,"$3,811,800"
Kyle Anderson,32,"$2,449,421",,,,,,"$2,449,421"
Trayce Jackson-Davis,26,"$2,406,205",,,,,,"$2,406,205"
Jamison Battle,25,"$2,296,271",,,,,,$0
Jamal Shead,24,"$2,296,271",,,,,,"$2,296,271"
Alijah Martin,24,"$2,185,116","$2,571,895",,,,,"$2,185,116"
Nate Bittle,23,"$1,357,763",,,,,,$0
