,,Salary,Salary,Salary,Salary,Salary,Salary,
Player,Age,2026-27,2027-28,2028-29,2029-30,2030-31,2031-32,Guaranteed
Jaren Jackson Jr.,26,"$49,000,000","$50,500,000","$52,000,000","$53,500,000",,,"$151,500,000"
Lauri Markkanen,29,"$46,113,154","$49,824,681","$53,536,209",,,,"$149,474,044"
Darryn Peterson,19,"$13,195,320","$13,855,320","$14,515,320","$18,318,335",,,"$27,050,640"
Jusuf Nurkić,31,"$10,576,923","$11,423,077",,,,,"$22,000,000"
Ace Bailey,19,"$9,523,080","$9,976,560","$12,640,302",,,,"$9,523,080"
Keyonte George,22,"$6,563,925",,,,,,"$6,563,925"
John Konchar,30,"$6,165,000",,,,,,"$6,165,000"
Cody Williams,21,"$6,015,600","$7,669,890",,,,,"$6,015,600"
Jaxson Hayes,26,"$6,000,000","$6,000,000",,,,,"$6,000,000"
Josh Okogie,27,"$6,000,000","$6,000,000",,,,,"$6,000,000"
Brice Sensabaugh,22,"$4,862,237",,,,,,"$4,862,237"
Svi Mykhailiuk,29,"$3,850,000","$4,025,000",,,,,$0
Mo Bamba,28,"$3,286,399","$3,681,991",,,,,"$6,968,390"
Kyle Filipowski,22,"$3,000,000","$3,000,000",,,,,$0
Isaiah Collier,21,"$2,763,960","$4,988,948",,,,,"$2,763,960"
