,,Salary,Salary,Salary,Salary,Salary,Salary,
Player,Age,2026-27,2027-28,2028-29,2029-30,2030-31,2031-32,Guaranteed
Anthony Davis,33,"$58,456,566","$62,786,682",,,,,"$58,456,566"
Trae Young,27,"$49,488,300","$50,478,066","$54,437,130","$58,396,194",,,"$154,403,496"
AJ Dybantsa,19,"$14,748,000","$15,485,760","$16,223,040","$20,457,254",,,"$30,233,760"
Alex Sarr,21,"$12,370,680","$15,611,798",,,,,"$12,370,680"
Bilal Coulibaly,21,"$9,240,012",,,,,,"$9,240,012"
Tre Johnson,20,"$8,649,600","$9,061,680","$11,490,211",,,,"$8,649,600"
Deandre Ayton,27,"$8,104,000",,,,,,"$8,104,000"
Khris Middleton,34,"$5,591,122","$5,870,678","$6,150,234",,,,"$6,499,000"
Cam Whitmore,22,"$5,458,310",,,,,,"$5,458,310"
Bub Carrington,21,"$4,900,560","$7,257,730",,,,,"$4,900,560"
Will Riley,20,"$3,688,320","$3,864,000","$6,155,352",,,,"$3,688,320"
Kyshawn George,22,"$3,108,000","$5,435,892",,,,,"$3,108,000"
Justin Champagnie,25,"$2,667,944","$3,005,085",,,,,"$2,667,944"
