team,name,position,height,weight,bday,years experience
ATL,Nickeil Alexander-Walker,SG,6-5,205,9/2/1998,6
ATL,Tony Bradley,C,6-10,248,1/8/1998,7
ATL,Dyson Daniels,SG,6-7,199,3/17/2003,3
ATL,N'Faly Dante,C,6-11,230,10/19/2001,1
ATL,RayJ Dennis,PG,6-1,180,3/30/2001,1
ATL,Keshon Gilbert,SG,6-4,200,6/30/2003,0
ATL,Mouhamed Gueye,PF,6-11,210,11/9/2002,2
ATL,Buddy Hield,SG,6-4,220,12/17/1992,9
ATL,Caleb Houstan,SF,6-8,205,1/9/2003,3
ATL,Jalen Johnson,SF,6-8,219,12/18/2001,4
ATL,Luke Kennard,SG,6-5,206,6/24/1996,8
ATL,Corey Kispert,SF,6-6,224,3/3/1999,4
ATL,Christian Koloko,C,6-11,225,6/20/2000,2
ATL,Vít Krejčí,PG,6-8,195,6/19/2000,4
ATL,Jonathan Kuminga,PF,6-7,225,10/6/2002,4
ATL,Jock Landale,C,6-11,255,10/25/1995,4
ATL,CJ McCollum,PG,6-3,190,9/19/1991,12
ATL,Asa Newell,PF,6-10,220,10/5/2005,0
ATL,Onyeka Okongwu,C,6-10,240,12/11/2000,5
ATL,Kristaps Porziņģis,C,7-2,240,8/2/1995,9
ATL,Zaccharie Risacher,SF,6-8,200,4/8/2005,1
ATL,Jacob Toppin,SF,6-9,200,5/8/2000,2
ATL,Gabe Vincent,PG,6-2,200,6/14/1996,6
ATL,Keaton Wallace,PG,6-3,185,2/26/1999,1
ATL,Trae Young,PG,6-2,164,9/19/1998,7
BOS,Dalano Banton,PG,6-8,203,11/7/1999,4
BOS,Charles Bassey,C,6-10,230,10/28/2000,4
BOS,Chris Boucher,PF,6-8,200,1/11/1993,8
BOS,Jaylen Brown,SF,6-6,223,10/24/1996,9
BOS,Luka Garza,C,6-10,243,12/27/1998,4
BOS,Hugo González,SF,6-6,200,2/5/2006,0
BOS,Ron Harper Jr.,SF,6-5,233,4/12/2000,3
BOS,Sam Hauser,PF,6-7,217,12/8/1997,4
BOS,Josh Minott,PF,6-8,205,11/25/2002,3
BOS,Payton Pritchard,PG,6-1,195,1/28/1998,5
BOS,Neemias Queta,C,7-0,248,7/13/1999,4
BOS,Baylor Scheierman,SG,6-6,205,9/26/2000,1
BOS,Max Shulga,SG,6-4,210,6/25/2002,0
BOS,Anfernee Simons,SG,6-3,200,6/8/1999,7
BOS,Jayson Tatum,PF,6-8,210,3/3/1998,8
BOS,Xavier Tillman Sr.,C,6-8,245,1/12/1999,5
BOS,John Tonje,SG,6-4,218,4/23/2001,0
BOS,Nikola Vučević,C,6-9,260,10/24/1990,14
BOS,Jordan Walsh,PF,6-6,205,3/3/2004,2
BOS,Derrick White,SG,6-4,190,7/2/1994,8
BOS,Amari Williams,PF,6-11,250,1/28/2002,0
BKN,Ochai Agbaji,SG,6-5,215,4/20/2000,3
BKN,Nic Claxton,C,6-11,215,4/17/1999,6
BKN,Noah Clowney,PF,6-10,210,7/14/2004,2
BKN,Egor Dёmin,PG,6-8,200,3/3/2006,0
BKN,Tyson Etienne,PG,6-0,200,9/17/1999,1
BKN,Chaney Johnson,SF,6-7,220,6/20/2002,0
BKN,E.J. Liddell,PF,6-6,240,12/18/2000,2
BKN,Terance Mann,SG,6-6,215,10/18/1996,6
BKN,Tyrese Martin,SG,6-6,215,3/7/1999,2
BKN,Josh Minott,SF,6-8,205,11/25/2002,3
BKN,Grant Nelson,PF,7-0,215,3/18/2002,0
BKN,Michael Porter Jr.,SF,6-10,218,6/29/1998,6
BKN,Drake Powell,SG,6-5,195,9/8/2005,0
BKN,Ben Saraf,SG,6-6,200,4/14/2006,0
BKN,Tre Scott,PF,6-8,225,11/25/1996,1
BKN,Day'Ron Sharpe,C,6-10,265,11/6/2001,4
BKN,Malachi Smith,SG,6-4,205,12/6/1999,0
